UFrag_no,UniqueFrags,C=C_count,Carbonyls,CN_single,MolWt,MethylatedSmiles,Methylated_img
0,C=CC,1,0,0,42.04695019,C=CC,
1,C=CO,1,0,0,44.02621475,C=COC,
2,C=CC=C,2,0,0,54.04695019,C=CC=C,
3,C=CN=C,1,0,1,55.04219916,C=CN=C,
4,C=CC=O,1,1,0,56.02621475,C=CC=O,
5,C=C(C)C,1,0,0,56.06260026,C=C(C)C,
6,CC=CC,1,0,0,56.06260026,CC=CC,
7,CC=CN,1,0,1,57.05784922,CC=CN(C)C,
8,C=C[SiH3],1,0,0,58.02387672,C=C[Si](C)(C)C,
9,C=C(C)O,1,0,0,58.04186481,C=C(C)OC,
10,CC=CO,1,0,0,58.04186481,CC=COC,
11,C=CS,1,0,0,60.00337113,C=CSC,
12,C=CC=CC,2,0,0,68.06260026,C=CC=CC,
13,C=CC(=C)C,2,0,0,68.06260026,C=CC(=C)C,
14,C=CC=CO,2,0,0,70.04186481,C=CC=COC,
15,CC=CC=O,1,1,0,70.04186481,CC=CC=O,
16,C=CC(=C)O,2,0,0,70.04186481,C=CC(=C)OC,
17,CC=C(C)C,1,0,0,70.07825032,CC=C(C)C,
18,C=CC(N)=O,1,1,1,71.03711378,C=CC(=O)N(C)C,
19,C=CC(=O)O,1,1,0,72.02112937,C=CC(=O)OC,
20,CC=C(C)O,1,0,0,72.05751488,CC=C(C)OC,
21,CC=C(O)O,1,0,0,74.03677943,CC=C(OC)OC,
22,O=C1CC=CC1,1,1,0,82.04186481,O=C1CC=CC1,
23,C(C=CC)=CC,2,0,0,82.07825032,CC=CC=CC,
24,C=C(C)C=CC,2,0,0,82.07825032,C=C(C)C=CC,
25,CC=CC=CC,2,0,0,82.07825032,CC=CC=CC,
26,C=C(C(=C)C)C,2,0,0,82.07825032,C=C(C)C(=C)C,
27,C=CC(=CC)C,2,0,0,82.07825032,C=CC(C)=CC,
28,CC=CC=CN,2,0,1,83.07349929,CC=CC=CN(C)C,
29,CC=C(C)C=O,1,1,0,84.05751488,CC=C(C)C=O,
30,CC=CC(C)=O,1,1,0,84.05751488,CC=CC(C)=O,
31,CC(C)=CC=O,1,1,0,84.05751488,CC(C)=CC=O,
32,C=C(O)C=CC,2,0,0,84.05751488,C=C(C=CC)OC,
33,CC(C)=C(C)C,1,0,0,84.09390038,CC(C)=C(C)C,
34,C=C(O)C=CN,2,0,1,85.05276384,C=C(C=CN(C)C)OC,
35,C=C(C)C(N)=O,1,1,1,85.05276384,C=C(C)C(=O)N(C)C,
36,CC=CC(N)=O,1,1,1,85.05276384,CC=CC(=O)N(C)C,
37,C=C(O)C(=C)O,2,0,0,86.03677943,C=C(OC)C(=C)OC,
38,C=C(O)C=CO,2,0,0,86.03677943,C=C(C=COC)OC,
39,C=C(C)C(=O)O,1,1,0,86.03677943,C=C(C)C(=O)OC,
40,C=COC(C)=O,1,1,0,86.03677943,C=COC(C)=O,
41,CC=CC(=O)O,1,1,0,86.03677943,CC=CC(=O)OC,
42,C=C[SH](=O)=O,1,0,0,91.99320037,C=CS(C)(=O)=O,
43,NC=C1C=CC=C1,3,0,1,93.05784922,CN(C)C=C1C=CC=C1,
44,C=CC=CC=CC,3,0,0,94.07825032,C=CC=CC=CC,
45,O=CC=CC=CC,2,1,0,96.05751488,CC=CC=CC=O,
46,C=C(C=C(C)C)C,2,0,0,96.09390038,C=C(C)C=C(C)C,
47,C(=CC)C(=CC)C,2,0,0,96.09390038,CC=CC(C)=CC,
48,C=CC=CC(=O)O,2,1,0,98.03677943,C=CC=CC(=O)OC,
49,O=C(O)C=CC=C,2,1,0,98.03677943,C=CC=CC(=O)OC,
50,CC=C(C)C(C)=O,1,1,0,98.07316494,CC=C(C)C(C)=O,
51,CC(=O)C=C(C)C,1,1,0,98.07316494,CC(=O)C=C(C)C,
52,CC=CC(C)=CO,2,0,0,98.07316494,CC=CC(C)=COC,
53,CC=CC(O)=CC,2,0,0,98.07316494,CC=CC(=CC)OC,
54,CC=CC=C(C)O,2,0,0,98.07316494,CC=CC=C(C)OC,
55,CC(C)=CC=NO,1,0,0,99.06841391,CON=CC=C(C)C,
56,CC=C(C)C=NO,1,0,0,99.06841391,CC=C(C)C=NOC,
57,CC(=O)C=C(C)N,1,1,1,99.06841391,CC(=O)C=C(C)N(C)C,
58,CC=CC(O)=CO,2,0,0,100.0524295,CC=CC(=COC)OC,
59,CC=C(O)C=CO,2,0,0,100.0524295,CC=C(C=COC)OC,
60,CC=C(O)C(C)=O,1,1,0,100.0524295,CC=C(OC)C(C)=O,
61,CC=C(C)C(=O)O,1,1,0,100.0524295,CC=C(C)C(=O)OC,
62,CC(C)=CC(=O)O,1,1,0,100.0524295,COC(=O)C=C(C)C,
63,CC(N)=CC(=O)O,1,1,1,101.0476785,COC(=O)C=C(C)N(C)C,
64,CC(O)=CC(=O)O,1,1,0,102.0316941,COC(=O)C=C(C)OC,
65,CC(=CO)C(=O)O,1,1,0,102.0316941,COC=C(C)C(=O)OC,
66,C=C(C)OC(=O)O,1,1,0,102.0316941,C=C(C)OC(=O)OC,
67,CC(C)=C(N)S,1,0,1,103.0455703,CSC(=C(C)C)N(C)C,
68,O=C1C=CC(=C)C=C1,3,1,0,106.0418648,C=C1C=CC(=O)C=C1,
69,C=1C=CC(C1)=C(C)C,3,0,0,106.0782503,CC(C)=C1C=CC=C1,
70,CC=CC=CC=CC,3,0,0,108.0939004,CC=CC=CC=CC,
71,CC=C1C=COC1=O,2,1,0,110.0367794,CC=C1C=COC1=O,
72,O=C(C=CC=CC)C,2,1,0,110.0731649,CC=CC=CC(C)=O,
73,CC=C(C)C=C(C)C,2,0,0,110.1095504,CC=C(C)C=C(C)C,
74,CC(C)=CC=C(C)C,2,0,0,110.1095504,CC(C)=CC=C(C)C,
75,CC=CC(C)=C(C)C,2,0,0,110.1095504,CC=CC(C)=C(C)C,
76,CC=C(C)C(C)=CC,2,0,0,110.1095504,CC=C(C)C(C)=CC,
77,CC=CC=CC(N)=O,2,1,1,111.0684139,CC=CC=CC(=O)N(C)C,
78,CC=C(C)C=C(C)N,2,0,1,111.1047994,CC=C(C)C=C(C)N(C)C,
79,C=C(C)C=CC(=O)O,2,1,0,112.0524295,C=C(C)C=CC(=O)OC,
80,O=C(OC=C)C(=C)C,2,1,0,112.0524295,C=COC(=O)C(=C)C,
81,CC(=O)C=CC(C)=O,1,2,0,112.0524295,CC(=O)C=CC(C)=O,
82,O=C(O)C=CC=CC,2,1,0,112.0524295,CC=CC=CC(=O)OC,
83,O=C(OC=C)C=CC,2,1,0,112.0524295,C=COC(=O)C=CC,
84,CC=CC=CC(=O)O,2,1,0,112.0524295,CC=CC=CC(=O)OC,
85,O=C(OC=CC=C)C,2,1,0,112.0524295,C=CC=COC(C)=O,
86,CC=C(C)CC(C)=O,1,1,0,112.088815,CC=C(C)CC(C)=O,
87,CC=C(C)C=C(C)O,2,0,0,112.088815,CC=C(C)C=C(C)OC,
88,CC(=O)C(C)=C(C)C,1,1,0,112.088815,CC(=O)C(C)=C(C)C,
89,CC=C(C)C(C)=NO,1,0,0,113.084064,CC=C(C)C(C)=NOC,
90,CC(C)=C(C)C(=O)O,1,1,0,114.0680796,COC(=O)C(C)=C(C)C,
91,CC(=O)C(O)=C(C)C,1,1,0,114.0680796,COC(C(C)=O)=C(C)C,
92,CC=C(C)OC(C)=O,1,1,0,114.0680796,CC=C(C)OC(C)=O,
93,OC(=C)C(=C(O)C)C,2,0,0,114.0680796,C=C(OC)C(C)=C(C)OC,
94,NC(=O)C=CC(=O)O,1,2,1,115.026943,COC(=O)C=CC(=O)N(C)C,
95,O=C(O)C=CC(=O)O,1,2,0,116.0109586,COC(=O)C=CC(=O)OC,
96,O=S(=O)(C=C)C=C,2,0,0,118.0088504,C=CS(=O)(=O)C=C,
97,C1=CC(=CC1=C(C)C)C,3,0,0,120.0939004,CC1=CC(=C(C)C)C=C1,
98,CC1=C(C)C(C)=C(C)C1,2,0,0,122.1095504,CC1=C(C)C(C)=C(C)C1,
99,CC=C1OC(=O)C=C1C,2,1,0,124.0524295,CC=C1OC(=O)C=C1C,
100,CC1=C(C)CC(O)=CC1,2,0,0,124.088815,COC1=CCC(C)=C(C)C1,
101,C=C(C)C(C)=CC(C)=O,2,1,0,124.088815,C=C(C)C(C)=CC(C)=O,
102,CC(=O)C=CC=C(C)C,2,1,0,124.088815,CC(=O)C=CC=C(C)C,
103,CC=C(C)C=CC(C)=O,2,1,0,124.088815,CC=C(C)C=CC(C)=O,
104,CC=CC(C)=CC(C)=O,2,1,0,124.088815,CC=CC(C)=CC(C)=O,
105,CC=CC(C)=C(C)C=O,2,1,0,124.088815,CC=CC(C)=C(C)C=O,
106,CC=CC=C(C)C(C)=O,2,1,0,124.088815,CC=CC=C(C)C(C)=O,
107,CC=C(C)C(C)=C(C)C,2,0,0,124.1252005,CC=C(C)C(C)=C(C)C,
108,CC(C)=CC(C)=C(C)C,2,0,0,124.1252005,CC(C)=CC(C)=C(C)C,
109,O=C(OC(=O)C=C)C=C,2,2,0,126.0316941,C=CC(=O)OC(=O)C=C,
110,CC=C(C)C=CC(=O)O,2,1,0,126.0680796,CC=C(C)C=CC(=O)OC,
111,CC=CC(C)=CC(=O)O,2,1,0,126.0680796,CC=CC(C)=CC(=O)OC,
112,CC=C(C)C=CB(O)O,2,0,0,126.08521,CC=C(C)C=CB(OC)OC,
113,O=C(C=CC=CC)NO,2,1,1,127.0633285,CC=CC=CC(=O)N(C)OC,
114,CC(C=CO)=CC(=O)O,2,1,0,128.0473441,COC=CC(C)=CC(=O)OC,
115,CC1=CC(=O)C(=O)C(C)=C1,2,2,0,136.0524295,CC1=CC(=O)C(=O)C(C)=C1,
116,C=C(C)C(C)=CC=C(C)C,3,0,0,136.1252005,C=C(C)C(C)=CC=C(C)C,
117,C(=CC(=CC)C)C=C(C)C,3,0,0,136.1252005,CC=C(C)C=CC=C(C)C,
118,NC(=O)CC1=CCC=CC1,2,1,1,137.084064,CN(C)C(=O)CC1=CCC=CC1,
119,ON=C1C=CC(=NO)C=C1,2,0,0,138.0429274,CON=C1C=CC(=NOC)C=C1,
120,CC=CC=CC=CC(=O)O,3,1,0,138.0680796,CC=CC=CC=CC(=O)OC,
121,CC=C(C)C(C)=CC(C)=O,2,1,0,138.1044651,CC=C(C)C(C)=CC(C)=O,
122,O=C(C=C(C)C)C=C(C)C,2,1,0,138.1044651,CC(C)=CC(=O)C=C(C)C,
123,C=CCC(C(C)=O)=C(C)C,2,1,0,138.1044651,C=CCC(C(C)=O)=C(C)C,
124,CC(=O)C=CC(C)=C(C)C,2,1,0,138.1044651,CC(=O)C=CC(C)=C(C)C,
125,CC=C(C)C(C=O)=C(C)C,2,1,0,138.1044651,CC=C(C)C(C=O)=C(C)C,
126,CC=CC(=O)C(C)=C(C)C,2,1,0,138.1044651,CC=CC(=O)C(C)=C(C)C,
127,CC=CC(C(=O)O)=C(C)C,2,1,0,140.0837296,CC=CC(C(=O)OC)=C(C)C,
128,C=C(C)C(C(C)=O)=C(C)O,2,1,0,140.0837296,C=C(C)C(C(C)=O)=C(C)OC,
129,CC(C)=CC=C(C)C(=O)O,2,1,0,140.0837296,COC(=O)C(C)=CC=C(C)C,
130,CC(=O)C(C(C)=O)=C(C)N,1,2,1,141.0789786,CC(=O)C(C(C)=O)=C(C)N(C)C,
131,O=C(O)C=CC=CC(=O)O,2,2,0,142.0266087,COC(=O)C=CC=CC(=O)OC,
132,CC1=CC(=O)C=CC1=CC=N,3,1,0,147.0684139,CN=CC=C1C=CC(=O)C=C1C,
133,O=C1C=CC(=NC(=O)C)C=C1,2,2,1,149.0476785,CC(=O)N=C1C=CC(=O)C=C1,
134,O=C1C(=CC(=NO)C=C1C)C,2,1,0,151.0633285,CON=C1C=C(C)C(=O)C(C)=C1,
135,CC(=O)C(C)=CC(C)=C(C)C,2,1,0,152.1201151,CC(=O)C(C)=CC(C)=C(C)C,
136,CC(=O)C=C(C)C(C)=C(C)C,2,1,0,152.1201151,CC(=O)C=C(C)C(C)=C(C)C,
137,CC=C(C)CC(C)=CC(C)=O,2,1,0,152.1201151,CC=C(C)CC(C)=CC(C)=O,
138,CC1=CC(=O)C(=CN)C(=O)O1,2,2,1,153.0425931,CC1=CC(=O)C(=CN(C)C)C(=O)O1,
139,O=C(OC(=O)C=CC)C=CC,2,2,0,154.0629942,CC=CC(=O)OC(=O)C=CC,
140,O=C(OC(=O)C(=C)C)C(=C)C,2,2,0,154.0629942,C=C(C)C(=O)OC(=O)C(=C)C,
141,CC=CC(C=O)=C(C)B(O)O,2,1,0,154.0801246,CC=CC(C=O)=C(C)B(OC)OC,
142,CC=C(C)C=C(C)OC(C)=O,2,1,0,154.0993797,CC=C(C)C=C(C)OC(C)=O,
143,CC(=O)CC(C)=C(C)C(C)=O,1,2,0,154.0993797,CC(=O)CC(C)=C(C)C(C)=O,
144,CC=CC=CC(=O)OC(=O)O,2,2,0,156.0422587,CC=CC=CC(=O)OC(=O)OC,
145,CC(O)=CC(C)=C(C)C(=O)O,2,1,0,156.0786442,COC(=O)C(C)=C(C)C=C(C)OC,
146,O=C(O)C(=CC=CO)C(=O)O,2,2,0,158.0215233,COC=CC=C(C(=O)OC)C(=O)OC,
147,CC(C(=O)O)=C(O)CC(=O)O,1,2,0,160.0371734,COC(=O)CC(OC)=C(C)C(=O)OC,
