UFrag_no,SMILES,C=C_count,Carbonyls,CN_single,MolWt,MethylatedSmiles,Name
0,C=CC,1,0,0,42.04695019,C=CC,Propene
1,C=CO,1,0,0,44.02621475,C=COC,Vinyl alcoho
2,C=CC=C,2,0,0,54.04695019,C=CC=C,"1,3-Butadiene"
3,C=CN=C,1,0,1,55.04219916,C=CN=C,Propenenitrile
4,C=CC=O,1,1,0,56.02621475,C=CC=O,propenal
5,C=C(C)C,1,0,0,56.06260026,C=C(C)C,Isobutene
6,CC=CC,1,0,0,56.06260026,CC=CC,1-Butene
7,CC=CN,1,0,1,57.05784922,CC=CN(C)C,Crotonitrile
8,C=C[SiH3],1,0,0,58.02387672,C=C[Si](C)(C)C,Vinylsilane
9,C=C(C)O,1,0,0,58.04186481,C=C(C)OC,2-Propen-1-ol
10,CC=CO,1,0,0,58.04186481,CC=COC,Crotonaldehyde
11,C=CS,1,0,0,60.00337113,C=CSC,Thioacetaldehyde
12,C=CC=CC,2,0,0,68.06260026,C=CC=CC,"1,3-Pentadiene"
13,C=CC(=C)C,2,0,0,68.06260026,C=CC(=C)C,Isoprene
14,C=CC=CO,2,0,0,70.04186481,C=CC=COC,Pentadienal
15,CC=CC=O,1,1,0,70.04186481,CC=CC=O,Crotonaldehyde
